Index,Expression,Success_P,Avg_Time_P,Std_Time_P,Success_S,Avg_Time_S,Std_Time_S
49,(((((((((((((((((((((((((((((((((((((((((((((((((409.77+933.01)+22.46)+513.50)+376.50)+859.51)+793.87)+609.47)+331.80)+624.01)+653.87)+644.39)+259.12)+26.00)+987.04)+207.75)+642.33)+560.32)+376.93)+120.69)+449.11)+137.72)+585.80)+542.60)+483.60)+886.60)+81.59)+362.59)+100.81)+299.21)+841.67)+913.00)+827.93)+970.30)+813.28)+797.87)+839.80)+448.72)+642.10)+693.93)+815.76)+468.21)+193.63)+401.55)+930.65)+467.21)+378.44)+517.60)+227.76)+899.27),0,50.89,12.0125,0,17.49,6.84533
50,((((((((((((((((((((((((((((((((((((((((((((((((((985.85+136.99)+458.48)+689.13)+279.02)+409.28)+739.93)+31.26)+303.93)+192.65)+813.19)+274.87)+717.76)+408.63)+785.07)+722.29)+577.06)+632.94)+798.60)+0.28)+627.79)+346.43)+471.86)+492.21)+529.62)+318.55)+857.92)+138.00)+399.14)+386.91)+846.44)+56.13)+456.88)+765.53)+292.49)+961.92)+1000.00)+999.09)+741.62)+349.78)+796.58)+199.00)+600.73)+542.82)+251.69)+201.62)+575.62)+513.76)+747.70)+608.02)+989.64),0,54.83,18.8433,0,18.69,8.40478
51,(((((((((((((((((((((((((((((((((((((((((((((((((((798.45+554.78)+146.67)+107.01)+523.78)+246.30)+571.63)+334.37)+678.71)+69.37)+844.64)+876.26)+332.07)+145.40)+744.07)+661.89)+402.78)+585.03)+555.45)+494.12)+614.50)+924.83)+613.93)+256.38)+39.66)+620.71)+343.49)+24.17)+171.39)+610.72)+423.85)+568.44)+730.37)+373.97)+365.64)+376.28)+86.61)+583.12)+418.17)+110.81)+325.26)+685.16)+563.98)+871.87)+531.86)+974.54)+60.24)+475.34)+110.13)+992.18)+549.51)+698.70),0,53.3,17.895,0,17.94,5.10856
52,((((((((((((((((((((((((((((((((((((((((((((((((((((127.24+474.98)+59.35)+445.11)+917.98)+439.51)+858.51)+997.18)+549.30)+124.28)+846.33)+190.26)+664.35)+656.27)+973.19)+457.62)+159.35)+139.19)+283.33)+972.96)+597.96)+852.21)+62.89)+925.62)+949.39)+466.67)+282.23)+460.25)+430.82)+866.14)+198.63)+384.77)+759.20)+814.22)+672.74)+721.59)+683.36)+313.99)+168.48)+688.04)+920.94)+165.76)+3.82)+176.31)+178.15)+198.05)+668.27)+674.45)+517.48)+323.40)+466.97)+320.82)+93.64),0,57.71,19.3398,0,18.75,4.84377
53,(((((((((((((((((((((((((((((((((((((((((((((((((((((870.44+445.12)+147.77)+652.05)+941.98)+882.35)+660.93)+203.91)+170.35)+16.07)+165.41)+109.08)+361.19)+561.13)+963.84)+245.49)+23.86)+30.04)+886.17)+886.35)+913.22)+547.40)+172.58)+487.05)+814.42)+936.61)+583.06)+548.91)+471.75)+753.34)+332.31)+172.46)+512.96)+380.43)+828.16)+967.04)+4.78)+301.39)+454.57)+890.45)+843.53)+250.36)+733.91)+839.56)+422.96)+708.48)+405.87)+526.30)+525.56)+91.53)+403.69)+782.13)+264.79)+307.86),0,55.67,12.6986,0,19.14,6.25876
54,((((((((((((((((((((((((((((((((((((((((((((((((((((((184.97+756.63)+620.67)+645.35)+327.31)+154.23)+184.36)+455.20)+533.18)+162.43)+925.77)+409.06)+31.19)+167.29)+565.06)+985.43)+140.26)+333.57)+309.12)+354.33)+162.87)+322.15)+379.58)+641.38)+602.31)+37.68)+335.10)+78.21)+544.03)+491.12)+287.87)+252.72)+439.32)+658.61)+325.58)+1.66)+972.70)+100.87)+318.38)+955.52)+349.27)+165.41)+985.49)+116.44)+41.88)+960.96)+785.28)+220.39)+101.46)+254.56)+437.51)+243.01)+282.59)+549.23)+882.30),0,58.77,19.5344,0,20.8,9.18937
55,(((((((((((((((((((((((((((((((((((((((((((((((((((((((851.65+670.47)+557.61)+757.83)+902.00)+853.38)+759.70)+233.95)+998.29)+261.28)+375.04)+299.50)+745.52)+991.83)+766.31)+428.61)+641.66)+463.80)+102.47)+181.88)+863.36)+503.36)+930.98)+898.04)+291.17)+629.14)+975.40)+544.05)+830.67)+54.81)+189.62)+975.29)+765.21)+869.88)+32.34)+518.44)+375.44)+969.67)+193.15)+228.57)+596.95)+896.50)+549.48)+84.77)+776.98)+771.09)+708.40)+51.94)+883.56)+71.64)+994.66)+269.92)+499.77)+687.32)+748.43)+944.65),0,57.26,10.6871,0,19.6,6.41652
56,((((((((((((((((((((((((((((((((((((((((((((((((((((((((689.71+911.77)+171.23)+815.33)+282.83)+481.88)+910.85)+703.18)+399.31)+168.44)+902.49)+210.06)+548.37)+372.78)+263.15)+806.70)+235.83)+658.91)+335.61)+522.13)+452.88)+606.87)+667.10)+21.77)+819.20)+377.32)+541.80)+969.70)+746.28)+793.29)+758.70)+453.23)+406.75)+244.23)+702.28)+213.82)+661.18)+407.05)+276.39)+343.15)+301.46)+688.40)+954.29)+778.18)+902.30)+21.66)+974.24)+53.75)+409.96)+163.55)+796.04)+11.58)+602.01)+921.47)+109.93)+545.02)+73.04),0,63.43,21.767,0,22.57,10.5268
57,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((556.52+383.38)+481.43)+390.93)+408.67)+559.11)+941.08)+699.03)+589.64)+11.14)+282.76)+387.38)+745.79)+565.69)+554.31)+268.59)+117.16)+161.62)+354.31)+808.31)+265.73)+191.67)+414.45)+648.15)+529.66)+72.85)+469.95)+378.96)+98.86)+493.25)+132.81)+216.25)+438.29)+353.13)+993.81)+892.15)+349.94)+439.15)+801.63)+982.17)+301.22)+576.64)+551.92)+143.24)+506.54)+499.84)+729.64)+82.60)+217.06)+172.93)+385.22)+374.62)+264.36)+164.68)+856.50)+245.43)+893.37)+791.16),0,64.19,20.2308,0,22.77,11.8261
58,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((964.20+250.75)+284.08)+549.81)+718.90)+515.29)+486.48)+351.87)+858.48)+412.21)+20.40)+915.69)+959.51)+568.63)+997.88)+400.52)+587.66)+806.35)+408.23)+43.41)+545.44)+130.10)+574.70)+969.22)+681.34)+207.21)+563.86)+830.68)+292.87)+306.06)+977.98)+984.92)+583.71)+332.87)+521.57)+82.39)+807.74)+681.66)+594.76)+204.15)+200.40)+163.94)+280.79)+197.46)+793.05)+871.83)+789.20)+90.75)+160.01)+247.03)+761.44)+517.07)+391.79)+867.99)+332.69)+596.70)+780.21)+986.73)+954.35),0,57.8,1.01504,0,20.11,5.48625
59,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((822.80+777.04)+686.43)+841.95)+628.00)+768.39)+396.66)+585.26)+420.05)+801.60)+477.76)+690.77)+813.62)+550.92)+294.79)+586.99)+474.32)+898.64)+429.24)+259.92)+464.03)+0.04)+658.06)+91.84)+562.31)+679.04)+667.62)+745.26)+652.47)+981.99)+279.69)+782.77)+5.18)+86.81)+59.20)+926.77)+214.66)+781.36)+253.66)+286.59)+738.16)+295.86)+473.19)+909.97)+923.06)+891.79)+250.65)+752.41)+683.91)+468.11)+473.92)+208.75)+506.39)+897.77)+835.07)+958.71)+973.10)+918.44)+148.70)+262.89),0,64.13,16.5588,0,22.19,8.79128
60,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((396.49+771.45)+770.62)+775.72)+454.48)+418.67)+636.32)+647.10)+742.00)+829.49)+272.14)+780.22)+180.41)+120.00)+787.71)+991.85)+77.26)+424.93)+841.12)+633.54)+944.81)+430.35)+945.96)+798.56)+377.18)+246.79)+828.70)+41.60)+228.60)+94.00)+861.43)+43.49)+954.65)+824.23)+869.01)+511.97)+750.10)+998.30)+417.46)+211.60)+403.71)+108.90)+362.06)+96.88)+203.93)+387.09)+823.58)+899.21)+965.84)+817.07)+416.84)+817.44)+724.96)+458.52)+415.10)+592.71)+603.36)+667.52)+987.43)+739.10)+4.20),0,64.6,15.1698,0,21.82,5.84718
61,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((625.46+130.18)+896.10)+677.83)+328.33)+236.83)+451.46)+680.74)+258.83)+145.99)+703.85)+598.78)+690.97)+73.71)+879.65)+202.96)+216.74)+732.60)+785.62)+958.21)+715.46)+740.48)+195.23)+215.45)+20.46)+839.16)+760.83)+218.62)+420.20)+270.70)+676.85)+835.85)+50.49)+622.81)+633.69)+457.73)+109.52)+725.23)+17.52)+412.84)+538.17)+102.26)+640.35)+435.77)+27.80)+242.48)+329.90)+631.84)+375.77)+544.64)+768.85)+78.94)+762.72)+48.26)+184.59)+470.33)+838.48)+338.45)+368.35)+853.80)+786.71)+278.56),0,90.31,34.7309,0,30.89,14.9213
62,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((815.30+703.33)+897.89)+870.38)+412.81)+181.98)+554.44)+530.93)+350.97)+725.29)+971.99)+235.33)+140.85)+237.75)+801.56)+822.30)+401.02)+867.89)+602.37)+38.66)+755.13)+487.71)+978.60)+355.25)+729.88)+165.04)+878.88)+310.33)+677.58)+150.37)+287.85)+906.71)+22.17)+591.71)+944.60)+829.33)+568.11)+211.34)+30.38)+582.12)+641.65)+155.06)+68.26)+307.53)+574.31)+368.61)+210.03)+34.97)+756.95)+65.23)+275.35)+770.59)+374.21)+302.87)+354.43)+967.25)+622.28)+697.83)+346.59)+154.43)+516.01)+565.46)+696.42),0,73.44,20.6912,0,25.48,10.1836
63,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((688.99+807.67)+458.84)+736.13)+161.80)+327.84)+12.46)+440.64)+805.49)+933.10)+563.49)+567.06)+575.65)+987.79)+728.45)+111.17)+510.83)+444.49)+474.78)+544.99)+585.18)+148.49)+725.62)+525.46)+345.19)+587.79)+32.96)+908.95)+757.57)+507.97)+409.14)+463.21)+162.53)+693.28)+34.67)+692.76)+171.73)+250.73)+947.03)+743.43)+820.09)+288.71)+332.64)+655.55)+835.03)+424.31)+441.39)+431.43)+59.05)+383.15)+644.29)+518.01)+208.89)+737.83)+688.85)+513.32)+367.02)+502.30)+123.72)+415.59)+813.23)+29.13)+540.56)+115.95),0,76.06,20.1579,0,27.24,10.7234
64,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((732.89+632.03)+549.68)+510.78)+706.82)+512.09)+720.95)+975.65)+705.30)+946.47)+382.20)+630.17)+184.36)+488.74)+304.14)+686.84)+700.23)+849.44)+490.26)+800.51)+179.24)+449.83)+234.01)+23.47)+527.69)+871.80)+338.93)+458.72)+674.61)+187.64)+596.74)+357.16)+820.93)+423.10)+51.87)+845.01)+138.69)+924.01)+856.06)+820.14)+22.25)+974.91)+275.58)+735.95)+99.17)+829.05)+782.17)+12.36)+797.38)+605.34)+17.23)+547.19)+626.82)+29.05)+311.99)+577.04)+320.62)+651.62)+814.29)+735.63)+737.06)+686.57)+129.75)+754.23)+316.18),0,73.55,24.2651,0,24.15,7.04871
65,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((3.22+104.10)+569.40)+883.81)+211.79)+616.13)+240.96)+878.21)+88.68)+376.96)+593.67)+803.80)+389.76)+647.87)+797.83)+63.07)+980.94)+591.89)+961.58)+331.28)+863.76)+250.70)+472.73)+158.85)+870.75)+714.76)+39.75)+71.98)+790.16)+185.88)+41.31)+237.86)+682.64)+192.76)+651.42)+344.40)+273.42)+317.01)+22.73)+980.14)+228.34)+662.18)+221.21)+928.90)+61.75)+786.24)+288.49)+651.24)+384.61)+181.16)+740.66)+257.19)+533.53)+24.29)+282.17)+483.72)+934.85)+967.67)+587.07)+885.48)+345.68)+869.28)+6.56)+191.84)+311.97)+225.77),0,86.99,30.5986,0,28.87,12.6024
